../../src
OMNeT++ Discrete Event Simulation  (C) 1992-2014 Andras Varga, OpenSim Ltd.
Version: 4.6, build: 141202-f785492, edition: Academic Public License -- NOT FOR COMMERCIAL USE
See the license for distribution terms and warranty disclaimer
Setting up Cmdenv...
Loading NED files from ../../src/../simulations: 6
Loading NED files from ../../src: 59
Loading NED files from /home/pi/omnetpp-4.6/projects/inet/src: 275

Preparing for running configuration discoA, run #0...
Scenario: $repetition=0
Assigned runID=discoA-0-20170411-17:19:44-1139
Setting up network `scenario_100M'...
Initializing...

Running simulation...
** Event #1   T=0   Elapsed: 0.000s (0m 00s)
     Speed:     ev/sec=0   simsec/sec=0   ev/simsec=0
     Messages:  created: 42   present: 42   in FES: 10
** Event #101888   T=10.192336229944   Elapsed: 2.004s (0m 02s)
     Speed:     ev/sec=50842.3   simsec/sec=5.086   ev/simsec=9996.53
     Messages:  created: 42499   present: 105   in FES: 7
** Event #202752   T=10.382021498682   Elapsed: 4.006s (0m 04s)
     Speed:     ev/sec=50406.8   simsec/sec=0.0947952   ev/simsec=531744
     Messages:  created: 84459   present: 105   in FES: 7
** Event #303360   T=10.570229726196   Elapsed: 6.010s (0m 06s)
     Speed:     ev/sec=50203.6   simsec/sec=0.0939163   ev/simsec=534557
     Messages:  created: 126290   present: 73   in FES: 5
** Event #401664   T=10.755789825017   Elapsed: 8.012s (0m 08s)
     Speed:     ev/sec=49127.4   simsec/sec=0.0927337   ev/simsec=529769
     Messages:  created: 167221   present: 105   in FES: 6
** Event #500992   T=10.941896602575   Elapsed: 10.016s (0m 10s)
     Speed:     ev/sec=49564.9   simsec/sec=0.0928677   ev/simsec=533715
     Messages:  created: 208552   present: 103   in FES: 5
** Event #600064   T=11.12873377137   Elapsed: 12.016s (0m 12s)
     Speed:     ev/sec=49536   simsec/sec=0.0934186   ev/simsec=530259
     Messages:  created: 249765   present: 106   in FES: 6
** Event #700928   T=11.318418180109   Elapsed: 14.020s (0m 14s)
     Speed:     ev/sec=50356.5   simsec/sec=0.0947002   ev/simsec=531746
     Messages:  created: 291728   present: 105   in FES: 5
** Event #801536   T=11.507672988856   Elapsed: 16.020s (0m 16s)
     Speed:     ev/sec=50304   simsec/sec=0.0946274   ev/simsec=531601
     Messages:  created: 333583   present: 105   in FES: 7
** Event #898304   T=11.688620545263   Elapsed: 18.021s (0m 18s)
     Speed:     ev/sec=48384   simsec/sec=0.0904738   ev/simsec=534785
     Messages:  created: 373825   present: 82   in FES: 6
** Event #1000960   T=11.882237945176   Elapsed: 20.022s (0m 20s)
     Speed:     ev/sec=51328   simsec/sec=0.0968087   ev/simsec=530200
     Messages:  created: 416556   present: 105   in FES: 7
** Event #1103104   T=12.073974633872   Elapsed: 22.023s (0m 22s)
     Speed:     ev/sec=51046.5   simsec/sec=0.0958204   ev/simsec=532731
     Messages:  created: 459054   present: 104   in FES: 5
** Event #1206016   T=12.268030123774   Elapsed: 24.027s (0m 24s)
     Speed:     ev/sec=51353.3   simsec/sec=0.0968341   ev/simsec=530323
     Messages:  created: 501864   present: 107   in FES: 8
** Event #1309696   T=12.46218041242   Elapsed: 26.032s (0m 26s)
     Speed:     ev/sec=51736.5   simsec/sec=0.0968814   ev/simsec=534019
     Messages:  created: 545009   present: 106   in FES: 7
** Event #1412608   T=12.656276432324   Elapsed: 28.036s (0m 28s)
     Speed:     ev/sec=51353.3   simsec/sec=0.0968543   ev/simsec=530212
     Messages:  created: 587818   present: 106   in FES: 5
** Event #1516032   T=12.849991460978   Elapsed: 30.038s (0m 30s)
     Speed:     ev/sec=51686.2   simsec/sec=0.0968091   ev/simsec=533898
     Messages:  created: 630855   present: 107   in FES: 7
** Event #1618944   T=13.044087480882   Elapsed: 32.041s (0m 32s)
     Speed:     ev/sec=51404.6   simsec/sec=0.0969511   ev/simsec=530212
     Messages:  created: 673663   present: 105   in FES: 5
** Event #1721088   T=13.235787529578   Elapsed: 34.042s (0m 34s)
     Speed:     ev/sec=51046.5   simsec/sec=0.0958021   ev/simsec=532832
     Messages:  created: 716165   present: 106   in FES: 6
** Event #1823744   T=13.428321808258   Elapsed: 36.043s (0m 36s)
     Speed:     ev/sec=51302.3   simsec/sec=0.096219   ev/simsec=533183
     Messages:  created: 758869   present: 97   in FES: 6
** Event #1926400   T=13.621977618169   Elapsed: 38.048s (0m 38s)
     Speed:     ev/sec=51225.5   simsec/sec=0.0966346   ev/simsec=530095
     Messages:  created: 801581   present: 105   in FES: 6
** Event #2029056   T=13.81451093685   Elapsed: 40.051s (0m 40s)
     Speed:     ev/sec=51251.1   simsec/sec=0.0961225   ev/simsec=533186
     Messages:  created: 844294   present: 105   in FES: 5
** Event #2130688   T=14.005386705564   Elapsed: 42.051s (0m 42s)
     Speed:     ev/sec=50816   simsec/sec=0.0954379   ev/simsec=532451
     Messages:  created: 886578   present: 106   in FES: 7
** Event #2232832   T=14.198250735491   Elapsed: 44.051s (0m 44s)
     Speed:     ev/sec=51072   simsec/sec=0.096432   ev/simsec=529617
     Messages:  created: 929067   present: 107   in FES: 7
** Event #2334976   T=14.389955784188   Elapsed: 46.051s (0m 46s)
     Speed:     ev/sec=51072   simsec/sec=0.0958525   ev/simsec=532819
     Messages:  created: 971565   present: 106   in FES: 7
** Event #2433536   T=14.57483547177   Elapsed: 48.052s (0m 48s)
     Speed:     ev/sec=49280   simsec/sec=0.0924398   ev/simsec=533103
     Messages:  created: 1012574   present: 105   in FES: 7
** Event #2534400   T=14.764520740508   Elapsed: 50.055s (0m 50s)
     Speed:     ev/sec=50356.5   simsec/sec=0.0947006   ev/simsec=531744
     Messages:  created: 1054538   present: 106   in FES: 7
** Event #2631936   T=14.947779468123   Elapsed: 52.057s (0m 52s)
     Speed:     ev/sec=48719.3   simsec/sec=0.0915378   ev/simsec=532231
     Messages:  created: 1095118   present: 105   in FES: 7
** Event #2734080   T=15.139496496819   Elapsed: 54.061s (0m 54s)
     Speed:     ev/sec=50995.5   simsec/sec=0.0957149   ev/simsec=532785
     Messages:  created: 1137570   present: 70   in FES: 6
** Event #2835968   T=15.331949726755   Elapsed: 56.064s (0m 56s)
     Speed:     ev/sec=50893.1   simsec/sec=0.0961305   ev/simsec=529417
     Messages:  created: 1180000   present: 107   in FES: 7
** Event #2936832   T=15.521631105491   Elapsed: 58.068s (0m 58s)
     Speed:     ev/sec=50331.3   simsec/sec=0.0946514   ev/simsec=531755
     Messages:  created: 1221964   present: 107   in FES: 8
** Event #3038464   T=15.712542504206   Elapsed: 60.074s (1m 00s)
     Speed:     ev/sec=50689.3   simsec/sec=0.0952177   ev/simsec=532352
     Messages:  created: 1264249   present: 104   in FES: 5
** Event #3138304   T=15.899485231746   Elapsed: 62.075s (1m 02s)
     Speed:     ev/sec=49895.1   simsec/sec=0.0934247   ev/simsec=534067
     Messages:  created: 1305772   present: 87   in FES: 5
** Event #3237376   T=16.086279140542   Elapsed: 64.080s (1m 04s)
     Speed:     ev/sec=49437.1   simsec/sec=0.0932105   ev/simsec=530381
     Messages:  created: 1347006   present: 107   in FES: 8
** Event #3335424   T=16.270366188141   Elapsed: 66.081s (1m 06s)
     Speed:     ev/sec=49024   simsec/sec=0.0920435   ev/simsec=532618
     Messages:  created: 1387803   present: 105   in FES: 5
** Event #3417856   T=16.425081411322   Elapsed: 68.088s (1m 08s)
     Speed:     ev/sec=41072.2   simsec/sec=0.0770878   ev/simsec=532798
     Messages:  created: 1422097   present: 105   in FES: 7
** Event #3496448   T=16.573737444626   Elapsed: 70.091s (1m 10s)
     Speed:     ev/sec=39256.7   simsec/sec=0.0742538   ev/simsec=528684
     Messages:  created: 1454787   present: 106   in FES: 7
** Event #3575296   T=16.721664856691   Elapsed: 72.093s (1m 12s)
     Speed:     ev/sec=39404.3   simsec/sec=0.0739267   ev/simsec=533018
     Messages:  created: 1487595   present: 105   in FES: 5
** Event #3648256   T=16.859094527716   Elapsed: 74.094s (1m 14s)
     Speed:     ev/sec=36461.8   simsec/sec=0.0686805   ev/simsec=530890
     Messages:  created: 1517947   present: 106   in FES: 5
** Event #3709184   T=16.972837864208   Elapsed: 76.097s (1m 16s)
     Speed:     ev/sec=30433.6   simsec/sec=0.0568149   ev/simsec=535662
     Messages:  created: 1543303   present: 106   in FES: 7
** Event #3765760   T=17.07970435084   Elapsed: 78.105s (1m 18s)
     Speed:     ev/sec=28189.3   simsec/sec=0.0532469   ev/simsec=529408
     Messages:  created: 1566837   present: 105   in FES: 7
** Event #3825664   T=17.191860237362   Elapsed: 80.111s (1m 20s)
     Speed:     ev/sec=29877.3   simsec/sec=0.0559381   ev/simsec=534114
     Messages:  created: 1591765   present: 107   in FES: 7
** Event #3871488   T=17.27826140065   Elapsed: 82.116s (1m 22s)
     Speed:     ev/sec=22866.3   simsec/sec=0.0431144   ev/simsec=530363
     Messages:  created: 1610828   present: 106   in FES: 6
** Event #3902464   T=17.336512169496   Elapsed: 84.120s (1m 24s)
     Speed:     ev/sec=15457.1   simsec/sec=0.0290672   ev/simsec=531770
     Messages:  created: 1623714   present: 105   in FES: 7
** Event #3945472   T=17.417312081642   Elapsed: 86.124s (1m 26s)
     Speed:     ev/sec=21461.1   simsec/sec=0.0403193   ev/simsec=532278
     Messages:  created: 1641609   present: 106   in FES: 6
** Event #4005120   T=17.529040588176   Elapsed: 88.126s (1m 28s)
     Speed:     ev/sec=29809.1   simsec/sec=0.0558363   ev/simsec=533866
     Messages:  created: 1666427   present: 106   in FES: 7
** Event #4039680   T=17.594144318134   Elapsed: 90.131s (1m 30s)
     Speed:     ev/sec=17236.9   simsec/sec=0.0324707   ev/simsec=530845
     Messages:  created: 1680805   present: 105   in FES: 6
** Event #4082176   T=17.674119900298   Elapsed: 92.136s (1m 32s)
     Speed:     ev/sec=21205.6   simsec/sec=0.039908   ev/simsec=531362
     Messages:  created: 1698486   present: 106   in FES: 6
** Event #4141568   T=17.78545544684   Elapsed: 94.139s (1m 34s)
     Speed:     ev/sec=29651.5   simsec/sec=0.0555844   ev/simsec=533450
     Messages:  created: 1723191   present: 101   in FES: 7
** Event #4200960   T=17.897950934611   Elapsed: 96.147s (1m 36s)
     Speed:     ev/sec=29577.7   simsec/sec=0.0560236   ev/simsec=527950
     Messages:  created: 1747898   present: 105   in FES: 5
** Event #4260864   T=18.010073261136   Elapsed: 98.153s (1m 38s)
     Speed:     ev/sec=29877.3   simsec/sec=0.0559214   ev/simsec=534274
     Messages:  created: 1772825   present: 106   in FES: 7
** Event #4320768   T=18.122250927659   Elapsed: 100.154s (1m 40s)
     Speed:     ev/sec=29952   simsec/sec=0.0560888   ev/simsec=534010
     Messages:  created: 1797705   present: 66   in FES: 5
** Event #4380928   T=18.235919985406   Elapsed: 102.157s (1m 42s)
     Speed:     ev/sec=30034.9   simsec/sec=0.0567494   ev/simsec=529256
     Messages:  created: 1822776   present: 107   in FES: 8
** Event #4441344   T=18.348888471914   Elapsed: 104.163s (1m 44s)
     Speed:     ev/sec=30117.6   simsec/sec=0.0563153   ev/simsec=534804
     Messages:  created: 1847870   present: 70   in FES: 5
** Event #4501760   T=18.462988949651   Elapsed: 106.166s (1m 46s)
     Speed:     ev/sec=30177.8   simsec/sec=0.0569932   ev/simsec=529498
     Messages:  created: 1873050   present: 107   in FES: 8
** Event #4561664   T=18.575158526177   Elapsed: 108.167s (1m 48s)
     Speed:     ev/sec=29952   simsec/sec=0.0560848   ev/simsec=534049
     Messages:  created: 1897959   present: 92   in FES: 7
** Event #4621568   T=18.688439983932   Elapsed: 110.175s (1m 50s)
     Speed:     ev/sec=29832.7   simsec/sec=0.0564151   ev/simsec=528807
     Messages:  created: 1922894   present: 106   in FES: 6
** Event #4681984   T=18.801392400439   Elapsed: 112.179s (1m 52s)
     Speed:     ev/sec=30162.8   simsec/sec=0.0563916   ev/simsec=534880
     Messages:  created: 1948035   present: 105   in FES: 6
** Event #4742656   T=18.915907618169   Elapsed: 114.184s (1m 54s)
     Speed:     ev/sec=30275.4   simsec/sec=0.0571433   ev/simsec=529816
     Messages:  created: 1973273   present: 105   in FES: 6
** Event #4803328   T=19.0304219759   Elapsed: 116.185s (1m 56s)
     Speed:     ev/sec=30320.8   simsec/sec=0.0572286   ev/simsec=529820
     Messages:  created: 1998511   present: 106   in FES: 6
** Event #4863488   T=19.142980522416   Elapsed: 118.185s (1m 58s)
     Speed:     ev/sec=30080   simsec/sec=0.0562793   ev/simsec=534477
     Messages:  created: 2023543   present: 104   in FES: 5
** Event #4923648   T=19.256662520161   Elapsed: 120.193s (2m 00s)
     Speed:     ev/sec=29975.1   simsec/sec=0.0566427   ev/simsec=529195
     Messages:  created: 2048560   present: 81   in FES: 15
** Event #4983808   T=19.369220206678   Elapsed: 122.199s (2m 02s)
     Speed:     ev/sec=29990   simsec/sec=0.0561105   ev/simsec=534481
     Messages:  created: 2073602   present: 105   in FES: 6
** Event #5044224   T=19.483294254416   Elapsed: 124.205s (2m 04s)
     Speed:     ev/sec=30117.6   simsec/sec=0.0568664   ev/simsec=529621
     Messages:  created: 2098735   present: 98   in FES: 15
** Event #5104640   T=19.596293110925   Elapsed: 126.214s (2m 06s)
     Speed:     ev/sec=30087.6   simsec/sec=0.0562743   ev/simsec=534660
     Messages:  created: 2123876   present: 105   in FES: 5
** Event #5164800   T=19.709925988671   Elapsed: 128.221s (2m 08s)
     Speed:     ev/sec=29975.1   simsec/sec=0.0566183   ev/simsec=529424
     Messages:  created: 2148900   present: 105   in FES: 6
** Event #5224960   T=19.822533755186   Elapsed: 130.223s (2m 10s)
     Speed:     ev/sec=30050   simsec/sec=0.0562476   ev/simsec=534244
     Messages:  created: 2173933   present: 107   in FES: 7
** Event #5285120   T=19.935139651703   Elapsed: 132.227s (2m 12s)
     Speed:     ev/sec=30034.9   simsec/sec=0.0562186   ev/simsec=534253
     Messages:  created: 2198937   present: 80   in FES: 6
** Event #5345280   T=20.048782279451   Elapsed: 134.229s (2m 14s)
     Speed:     ev/sec=30050   simsec/sec=0.0567645   ev/simsec=529379
     Messages:  created: 2223988   present: 105   in FES: 7
** Event #5405440   T=20.161335975966   Elapsed: 136.234s (2m 16s)
     Speed:     ev/sec=30005   simsec/sec=0.0561365   ev/simsec=534500
     Messages:  created: 2249026   present: 108   in FES: 8
** Event #5465600   T=20.275058553713   Elapsed: 138.237s (2m 18s)
     Speed:     ev/sec=30034.9   simsec/sec=0.0567761   ev/simsec=529007
     Messages:  created: 2274047   present: 104   in FES: 5
** Event #5526016   T=20.38801102022   Elapsed: 140.245s (2m 20s)
     Speed:     ev/sec=30087.6   simsec/sec=0.0562512   ev/simsec=534880
     Messages:  created: 2299189   present: 103   in FES: 6
** Event #5586176   T=20.501696097968   Elapsed: 142.249s (2m 22s)
     Speed:     ev/sec=30034.9   simsec/sec=0.0567574   ev/simsec=529181
     Messages:  created: 2324212   present: 106   in FES: 7
** Event #5646592   T=20.614654374475   Elapsed: 144.256s (2m 24s)
     Speed:     ev/sec=30102.6   simsec/sec=0.0562822   ev/simsec=534852
     Messages:  created: 2349350   present: 101   in FES: 6
** Event #5707008   T=20.728765922212   Elapsed: 146.263s (2m 26s)
     Speed:     ev/sec=30102.6   simsec/sec=0.0568568   ev/simsec=529447
     Messages:  created: 2374486   present: 106   in FES: 7
** Event #5766656   T=20.840499278747   Elapsed: 148.264s (2m 28s)
     Speed:     ev/sec=29824   simsec/sec=0.0558667   ev/simsec=533842
     Messages:  created: 2399304   present: 105   in FES: 7
** Event #5825536   T=20.951039055303   Elapsed: 150.267s (2m 30s)
     Speed:     ev/sec=29395.9   simsec/sec=0.0551871   ev/simsec=532659
     Messages:  created: 2423794   present: 99   in FES: 8
** Event #5884416   T=21.06270046309   Elapsed: 152.270s (2m 32s)
     Speed:     ev/sec=29395.9   simsec/sec=0.0557471   ev/simsec=527308
     Messages:  created: 2448291   present: 107   in FES: 7
** Event #5942784   T=21.172414039666   Elapsed: 154.274s (2m 34s)
     Speed:     ev/sec=29140.3   simsec/sec=0.0547746   ev/simsec=532003
     Messages:  created: 2472574   present: 106   in FES: 7
** Event #6000896   T=21.281726726246   Elapsed: 156.275s (2m 36s)
     Speed:     ev/sec=29041.5   simsec/sec=0.054629   ev/simsec=531613
     Messages:  created: 2496741   present: 76   in FES: 15
** Event #6059264   T=21.391387242821   Elapsed: 158.282s (2m 38s)
     Speed:     ev/sec=29096.7   simsec/sec=0.0546663   ev/simsec=532261
     Messages:  created: 2521040   present: 105   in FES: 12
** Event #6118144   T=21.501979219379   Elapsed: 160.289s (2m 40s)
     Speed:     ev/sec=29337.3   simsec/sec=0.0551031   ev/simsec=532408
     Messages:  created: 2545533   present: 105   in FES: 5
** Event #6176768   T=21.612082725944   Elapsed: 162.293s (2m 42s)
     Speed:     ev/sec=29268.1   simsec/sec=0.0549693   ev/simsec=532444
     Messages:  created: 2569925   present: 105   in FES: 7
** Event #6235136   T=21.721792362518   Elapsed: 164.296s (2m 44s)
     Speed:     ev/sec=29140.3   simsec/sec=0.0547727   ev/simsec=532023
     Messages:  created: 2594208   present: 105   in FES: 6
** Event #6293760   T=21.831905669085   Elapsed: 166.300s (2m 46s)
     Speed:     ev/sec=29253.5   simsec/sec=0.0549468   ev/simsec=532397
     Messages:  created: 2618598   present: 106   in FES: 7
** Event #6352384   T=21.94204576565   Elapsed: 168.305s (2m 48s)
     Speed:     ev/sec=29253.5   simsec/sec=0.0549601   ev/simsec=532268
     Messages:  created: 2642990   present: 105   in FES: 5
** Event #6410240   T=22.050926172241   Elapsed: 170.311s (2m 50s)
     Speed:     ev/sec=28841.5   simsec/sec=0.0542774   ev/simsec=531372
     Messages:  created: 2667059   present: 106   in FES: 7
** Event #6469376   T=22.161859818788   Elapsed: 172.313s (2m 52s)
     Speed:     ev/sec=29553.2   simsec/sec=0.0554391   ev/simsec=533075
     Messages:  created: 2691666   present: 106   in FES: 7
** Event #6529536   T=22.274465665305   Elapsed: 174.315s (2m 54s)
     Speed:     ev/sec=30065   simsec/sec=0.0562748   ev/simsec=534253
     Messages:  created: 2716676   present: 86   in FES: 5
** Event #6589440   T=22.387705683059   Elapsed: 176.321s (2m 56s)
     Speed:     ev/sec=29862.4   simsec/sec=0.0564507   ev/simsec=529000
     Messages:  created: 2741617   present: 107   in FES: 8
